EANHotelID	SequenceNumber	Name	Address1	Address2	City	StateProvince	PostalCode	Country	Latitude	Longitude	AirportCode	PropertyCategory	PropertyCurrency	StarRating	Confidence	SupplierType	Location	ChainCodeID	RegionID	HighRate	LowRate	CheckInTime	CheckOutTime
215154	785	Hotel RH Victoria Benidorm	"Avenida de Emilio Ortuno, 20"		Benidorm		3501	ES	38.53905	-0.12633	ALC	1	EUR	4	52	ESR	Near Avenida Martinez Alejos	2723	181363	217.5571	131.8065		
126606	786	Hotel La Bourdonnais	111 Avenue De La Bourdonnais		Paris		75007	FR	48.8548	2.30458	CDG	1	EUR	4	80	ESR	Near Eiffel Tower	3005	2734	338.21	285.2		
355605	789	Stella Di Mare Beach Hotel & Spa	Neama Bay		Sharm el Sheikh			EG	27.9048	34.32716	SSH	3	USD	5	52	ESR	Near Naama Bay Beach		6051298	624.9997	194.9957		
239175	791	Benalmadena Palace	Camino de Gilabert s/n		Benalmadena		29630	ES	36.58571	-4.53596	AGP	22	EUR	4	52	ESR	Near Paloma Park		5734	121.9111	62.8794		
114076	797	The Capitol Hotel Tokyu	2-10-3 Nagata-cho	Chiyoda-ku	Tokyo		100-0014	JP	35.67403	139.74138	HND	1	JPY	5	3	ESR	Near National Diet Building	651	3593	999.1436	998.1436		
352611	798	"Langham Place, New York, Fifth Avenue"	400 Fifth Avenue		New York	NY	10018	US	40.75009	-73.98337	JFK	1	USD	5	52	ESR	Near Empire State Building	2585	2621	1325.49	765.49		
278380	802	Amathus Beach Hotel Rhodes	"Iraklidon Avenue 100, Ixia"		Rhodes		85101	GR	36.42019	28.18753	RHO	1	EUR	5	52	ESR	Near Rhodes Aquarium		11286	221.09	45.22		
307615	803	Grand Velas Riviera Maya - All Inclusive	Carretera Cancún-Tulum KM 62	Municipio Solaridad	Playa del Carmen		77710	MX	20.67582	-87.02339	CUN	8	USD	5	52	ESR	Near El Camaleon Golf Club		601751	1573.33	982.67		
207998	807	Globales Club Almirante Farragut	"Avenida Los Delfines, s/n"		Ciudadela de Menorca		7760	ES	39.99913	3.7982	MAH	1	EUR	4	52	ESR	In Ciudadela de Menorca (Los Delfines)	2755	182309	303.0109	97.7629		
253949	808	Radisson Acqua Hotel & Spa Concon	Av. Borgono 23333		Concon			CL	-32.9188	-71.52336	SCL	1	CLP	4	52	ESR	Near Amarilla Beach	115	6053833	290	150		
184784	809	Miramar Hotel by Windsor	"Avenida Atlantica, 3668 - Copacabana"		Rio de Janeiro		22070-001	BR	-22.981	-43.1898	GIG	1	BRL	5	52	ESR	Near Arpoador Beach		2998	613.8882	276.0536		
404973	810	Auris Plaza Hotel	Al Barsha 1	Next to Mall of the Emirates	Dubai		390531	AE	25.11315	55.20091	DXB	1	AED	5	52	ESR	Near Mall of the Emirates	3190	6053839	285.8686	272.2559		
118511	812	Sofitel LA at Beverly Hills	8555 Beverly Blvd		Los Angeles	CA	90048	US	34.07603	-118.37727	LAX	1	USD	4.5	52	ESR	In Los Angeles (Beverly Hills - West Hollywood)	272	2011	509	319		
234103	820	Hotel Geranios Suites & Spa	Paseo Maritimo S/N	Caleta de Fuste	Antigua		35630	ES	28.39267	-13.86045	FUE	1	EUR	4	52	ESR	Near Fuerteventura Golf Course		6034060	82.1917	81.1917		
218758	821	Hotel Straf	Via San Raffaele 3		Milan		20121	IT	45.46501	9.1914	MXP	1	EUR	4	95	ESR	Near Cathedral of Milan		2302	241.68	225.3		
207646	823	Globales Santa Ponsa Park Hotel	"Puig des Teix, 3"	Santa Ponsa	Calvia		7180	ES	39.51676	2.4835	PMI	1	EUR	4	52	ESR	Near Western Water Park	2755	182299	208.4746	130.6355		
264003	824	L'Horizon Beach Hotel & Spa	La Route de la Baie		St Brelade		JE3 8EF	GB	49.18485	-2.1934	JER	1	GBP	4	52	ESR	Near Sir Winston Churchill Memorial Gardens	2901	182629	408.25	276.56		
113313	825	Hotel Park Lane Paris	4 Rue La Boetie		Paris		75008	FR	48.87441	2.31862	CDG	1	EUR	4	3	ESR	Near Parc Monceau		2734	293.9672	202.4066		
255830	829	Kenwood Inn and Spa	10400 Sonoma Hwy		Kenwood	CA	95452	US	38.40332	-122.53977	SFO	4	USD	4	52	ESR	Near Remick Ridge Vineyards		177541	550	425		
221018	830	Brentwood Bay Resort & Spa	849 Verdier Ave		Brentwood Bay	BC	V8M1C5	CA	48.57787	-123.46422	YYJ	1	CAD	4.5	52	ESR	Near Butchart Gardens		6034843	334.6259	235.1509		
404151	831	Hotel Bahía Príncipe Coral Playa	"Carrer Torrenova, 41"		Calvia		7181	ES	39.50975	2.54205	PMI	1	EUR	4	52	ESR	Near Pirates Adventure Show		182299	249.163	182.2759		
430857	832	Melbourne Short Stay Apartments MP Deluxe	241 City Road		Southbank	VC	3006	AU	-37.82635	144.9597	MEL	16	AUD	4	52	ESR	Near Crown Casino		601789	329.6082	208.2079		
119255	834	Divani Caravel	"2, Vas. Alexandrou Avenue"		Athens		16121	GR	37.97452	23.7504	ATH	1	EUR	5	52	ESR	Near Benaki Museum		438	381.6687	117.1615		
360481	837	Biz Apartment Gärdet	Sehlstedtsgatan 4		Stockholm		11528	SE	59.34218	18.1126	ARN	16	SEK	4	52	ESR	In Stockholm (Ladugardsgardet)		3286	191.5181	151.8488		
257222	1480	Hacienda Encantada Resort & Spa	Kilometro 7.3 Carretera Transpeninsular		Cabo San Lucas		23410	MX	22.90328	-109.84499	SJD	3	MXN	4	52	ESR	Near Monuments Beach		9631	696	296		
122239	1481	The Clarence	6-8 Wellington Quay		Dublin		2	IE	53.34547	-6.26677	DUB	1	EUR	4	64	ESR	Near Jervis Shopping Center		1069	247.0631	149.7879		
125862	1482	Grand Hotel Palace	Via Vittorio Veneto 70		Rome		187	IT	41.90693	12.49021	FCO	1	EUR	5	52	ESR	Near Spanish Steps	263	3023	648.43	243.16		
